4498059-P,346,1,,,,400.94,54.94,,,
4504943-G,20,1,,,,24.44,4.44,,,
4510989-P,880,1,,,,2387.76,1507.76,,,
4522718-G,0,1,,,,0,0,,,
4536463-G,10,1,,,,8.54,-1.46,,,
4550305-P,0,1,,,,0,0,,,
4576130-P,971,1,,,,1880.92,909.92,,,
4581980-G,0,1,,,,0,0,,,
4606320-G,0,1,,,,15.5,15.5,,,
4689810-G,123,1,,,,135.9,12.9,,,
4721522-P,949,1,,,,906.19,-42.81,,,
4769997-P,0,1,,,,0,0,,,
4795555-P,0,1,,,,5.76,5.76,,,
4812979-G,465,1,,,,472.07,7.07,,,
4821027-G,0,1,,,,0,0,,,
4823669-G,0,1,,,,0.4,0.4,,,
4825223-G,0,1,,,,0,0,,,
4863836-G,0,1,,,,0,0,,,
4878186-G,16,1,,,,39.54,23.54,,,
4892346-P,10,1,,,,9.93,-0.07,,,
4905822-G,0,1,,,,0,0,,,
4910989-G,0,1,,,,0,0,,,
4933431-G,0,1,,,,201.86,201.86,,,
4948930-P,0,1,,,,1.19,1.19,,,
4952709-G,0,1,,,,36.95,36.95,,,
4962305-G,0,1,,,,0,0,,,
4971317-G,55,1,,,,187.95,132.95,,,
5076255-G,36,1,,,,34.97,-1.03,,,
5080911-G,3,1,,,,2.38,-0.62,,,
5085790-G,0,1,,,,0,0,,,
5086817-G,0,1,,,,0,0,,,
5095692-P,0,1,,,,3.58,3.58,,,
5123648-P,586,1,,,,558.49,-27.51,,,
5157051-G,0,1,,,,0,0,,,
5162470-P,0,1,,,,29.66,29.66,,,
5203452-G,41,1,,,,39.74,-1.26,,,
5241941-G,243,1,,,,238.42,-4.58,,,
5243141-P,0,1,,,,0,0,,,
5244304-P,66,1,,,,80.47,14.47,,,
5245545-P,273,1,,,,270.01,-2.99,,,
5262613-P,85,1,,,,161.73,76.73,,,
5271603-P,0,1,,,,0,0,,,
5292319-G,70,1,,,,66.76,-3.24,,,
5303844-P,23,1,,,,23.84,0.84,,,
5318774-G,300,1,,,,343.92,43.92,,,
5331431_G,0,1,,,,0.2,0.2,,,
5335820-G,140,1,,,,367.96,227.96,,,
5359977-P,324,1,,,,312.13,-11.87,,,
5415996-G,128,1,,,,440.08,312.08,,,
5419023-P,4,1,,,,60.6,56.6,,,
5479298-G,16,1,,,,16.69,0.69,,,
5499809-P,0,1,,,,0,0,,,
5509999-G,68,1,,,,65.96,-2.04,,,
5585604-P,0,1,,,,6.56,6.56,,,
5586787-P,23,1,,,,24.04,1.04,,,
